geo,time,sex,alcohol_every_day_pct,alcohol_every_month_pct,alcohol_every_week_pct,alcohol_less_than_once_a_month_pct,alcohol_never_or_not_in_the_last_12_months_pct,alcohol_never_pct,alcohol_not_in_the_last_12_months_pct,gdp_per_capita,healthy_life_expectancy
Austria,2014,Females,2.7999999999999994,29.7,16.4,19.900000000000002,31.166666666666668,17.3,13.866666666666667,39520.0,57.8
Austria,2014,Females,2.7999999999999994,29.7,16.4,19.900000000000002,31.166666666666668,17.3,13.866666666666667,39520.0,
Austria,2014,Females,2.7999999999999994,29.7,16.4,19.900000000000002,31.166666666666668,17.3,13.866666666666667,39520.0,16.0
Austria,2014,Females,2.7999999999999994,29.7,16.4,19.900000000000002,31.166666666666668,17.3,13.866666666666667,39520.0,
Austria,2014,Females,2.7999999999999994,29.7,16.4,19.900000000000002,31.166666666666668,17.3,13.866666666666667,39520.0,7.7
Austria,2014,Females,2.7999999999999994,29.7,16.4,19.900000000000002,31.166666666666668,17.3,13.866666666666667,39520.0,
Austria,2014,Females,2.7999999999999994,29.7,16.4,19.900000000000002,31.166666666666668,17.3,13.866666666666667,39520.0,
Austria,2014,Females,2.7999999999999994,29.7,16.4,19.900000000000002,31.166666666666668,17.3,13.866666666666667,39520.0,68.8
Austria,2014,Females,2.7999999999999994,29.7,16.4,19.900000000000002,31.166666666666668,17.3,13.866666666666667,39520.0,
Austria,2014,Females,2.7999999999999994,29.7,16.4,19.900000000000002,31.166666666666668,17.3,13.866666666666667,39520.0,45.4
Austria,2014,Females,2.7999999999999994,29.7,16.4,19.900000000000002,31.166666666666668,17.3,13.866666666666667,39520.0,
Austria,2014,Females,2.7999999999999994,29.7,16.4,19.900000000000002,31.166666666666668,17.3,13.866666666666667,39520.0,35.5
Austria,2014,Males,8.166666666666666,26.2,35.36666666666667,8.233333333333333,22.066666666666663,13.533333333333333,8.533333333333333,39520.0,57.6
Austria,2014,Males,8.166666666666666,26.2,35.36666666666667,8.233333333333333,22.066666666666663,13.533333333333333,8.533333333333333,39520.0,
Austria,2014,Males,8.166666666666666,26.2,35.36666666666667,8.233333333333333,22.066666666666663,13.533333333333333,8.533333333333333,39520.0,16.2
Austria,2014,Males,8.166666666666666,26.2,35.36666666666667,8.233333333333333,22.066666666666663,13.533333333333333,8.533333333333333,39520.0,
Austria,2014,Males,8.166666666666666,26.2,35.36666666666667,8.233333333333333,22.066666666666663,13.533333333333333,8.533333333333333,39520.0,8.4
Austria,2014,Males,8.166666666666666,26.2,35.36666666666667,8.233333333333333,22.066666666666663,13.533333333333333,8.533333333333333,39520.0,
Austria,2014,Males,8.166666666666666,26.2,35.36666666666667,8.233333333333333,22.066666666666663,13.533333333333333,8.533333333333333,39520.0,
Austria,2014,Males,8.166666666666666,26.2,35.36666666666667,8.233333333333333,22.066666666666663,13.533333333333333,8.533333333333333,39520.0,72.9
Austria,2014,Males,8.166666666666666,26.2,35.36666666666667,8.233333333333333,22.066666666666663,13.533333333333333,8.533333333333333,39520.0,
Austria,2014,Males,8.166666666666666,26.2,35.36666666666667,8.233333333333333,22.066666666666663,13.533333333333333,8.533333333333333,39520.0,52.5
Austria,2014,Males,8.166666666666666,26.2,35.36666666666667,8.233333333333333,22.066666666666663,13.533333333333333,8.533333333333333,39520.0,
Austria,2014,Males,8.166666666666666,26.2,35.36666666666667,8.233333333333333,22.066666666666663,13.533333333333333,8.533333333333333,39520.0,45.2
Austria,2014,Total,5.400000000000001,28.200000000000003,25.333333333333332,14.233333333333334,26.900000000000002,15.466666666666667,11.433333333333332,39520.0,57.7
Austria,2014,Total,5.400000000000001,28.200000000000003,25.333333333333332,14.233333333333334,26.900000000000002,15.466666666666667,11.433333333333332,39520.0,
Austria,2014,Total,5.400000000000001,28.200000000000003,25.333333333333332,14.233333333333334,26.900000000000002,15.466666666666667,11.433333333333332,39520.0,16.1
Austria,2014,Total,5.400000000000001,28.200000000000003,25.333333333333332,14.233333333333334,26.900000000000002,15.466666666666667,11.433333333333332,39520.0,
Austria,2014,Total,5.400000000000001,28.200000000000003,25.333333333333332,14.233333333333334,26.900000000000002,15.466666666666667,11.433333333333332,39520.0,8.0
Austria,2014,Total,5.400000000000001,28.200000000000003,25.333333333333332,14.233333333333334,26.900000000000002,15.466666666666667,11.433333333333332,39520.0,
Austria,2014,Total,5.400000000000001,28.200000000000003,25.333333333333332,14.233333333333334,26.900000000000002,15.466666666666667,11.433333333333332,39520.0,
Austria,2014,Total,5.400000000000001,28.200000000000003,25.333333333333332,14.233333333333334,26.900000000000002,15.466666666666667,11.433333333333332,39520.0,70.7
Austria,2014,Total,5.400000000000001,28.200000000000003,25.333333333333332,14.233333333333334,26.900000000000002,15.466666666666667,11.433333333333332,39520.0,
Austria,2014,Total,5.400000000000001,28.200000000000003,25.333333333333332,14.233333333333334,26.900000000000002,15.466666666666667,11.433333333333332,39520.0,48.5
Austria,2014,Total,5.400000000000001,28.200000000000003,25.333333333333332,14.233333333333334,26.900000000000002,15.466666666666667,11.433333333333332,39520.0,
Austria,2014,Total,5.400000000000001,28.200000000000003,25.333333333333332,14.233333333333334,26.900000000000002,15.466666666666667,11.433333333333332,39520.0,39.5
Austria,2019,Females,2.1333333333333333,25.13333333333333,21.5,17.966666666666665,33.199999999999996,23.53333333333333,9.700000000000001,41970.0,58.0
Austria,2019,Females,2.1333333333333333,25.13333333333333,21.5,17.966666666666665,33.199999999999996,23.53333333333333,9.700000000000001,41970.0,
